filename,party,type,number,year,ext,size_kb,contract_type
ТКА на.doc,ТКА,,,,.doc,66.0,Другое/Other
ТКА РАБОЧИЙ НА КАЛЕНД ПОМЕНЯЛ.doc,ТКА,,,,.doc,67.0,Другое/Other
ТКА №18 от 11.04.2018.doc,ТКА,,18,2018,.doc,86.0,Другое/Other
ТКА №31 от июня 2018года.doc,ТКА,,31,2018,.doc,64.5,Другое/Other
ТКА №39 от 09112018.doc,ТКА,,39,2018,.doc,72.5,Другое/Other
ТКА №58 от ноября 2018года.doc,ТКА,,58,2018,.doc,80.5,Другое/Other
ТКА №63 по БИОСУ 2018года.doc,БИОС,,63,2018,.doc,67.5,Другое/Other
ТОО Айко Актобе 122тыщи с акбарысом.doc,Актобе,Акт,,,.doc,81.0,Акт/Act
ТОО Айко Актобе 98597.doc,Актобе,Акт,,,.doc,80.5,Акт/Act
ТОО АктобеЭлектро сеть.doc,Актобе,Акт,,,.doc,74.0,Акт/Act
ТОО АМК 148 800.doc,АМК,,,,.doc,66.0,Другое/Other
ТОО АМК за погонный метр.doc,АМК,,,,.doc,66.0,Другое/Other
ТОО АМК Забор школы  №66.doc,АМК,,66,,.doc,78.5,Другое/Other
ТОО АМК на саяхате.doc,АМК,,,,.doc,67.5,Другое/Other
ТОО БайСкидка  Жк Арман Комфорт.doc,Комфорт,,,,.doc,56.5,Другое/Other
ТОО Есик с Аманатом.doc,Аманат,,,,.doc,62.5,Другое/Other
ТОО Жандос и К и Аманат кафе.doc,Аманат,,,,.doc,59.0,Другое/Other
ТОО ИЗовенТ.doc,,,,,.doc,68.0,Другое/Other
ТОО Кумнур.doc,,,,,.doc,70.5,Другое/Other
ТОО Редким комм этаж отделка.doc,,,,,.doc,87.0,Строительство/Construction
ТОО Редким.doc,,,,,.doc,75.0,Другое/Other
ТОО Стронеф по БИОСУ.doc,БИОС,,,,.doc,63.5,Другое/Other
ТОО Стронеф по строительству кафе.doc,Стронеф,,,,.doc,70.0,Строительство/Construction
ТОО Стронеф.doc,Стронеф,,,,.doc,63.0,Другое/Other
ТОО фИРМА Жандос ПЕРЕДЕЛАННННННН.doc,,,,,.doc,70.5,Другое/Other
Тор-м компани 2019.doc,,,,2019,.doc,384.5,Другое/Other
Тор-м компани.doc,,,,,.doc,66.0,Другое/Other
Тулынкин  ТД Мега-Шыгыс №54.doc,,,54,,.doc,63.0,Другое/Other
Тулынкин  №93.doc,,,93,,.doc,63.0,Другое/Other
тымченко.docx,,,,,.docx,20.7978515625,Другое/Other
уведомление в упр юстиции по смене адреса от комфорта.docx,,,,,.docx,15.6513671875,Другое/Other
УРГЕНИШБАЕВ доделать.doc,,,,,.doc,77.0,Другое/Other
Утеули №30 на школе СДС 2012.doc,СДС,,30,2012,.doc,56.5,Другое/Other
Утеули №55.doc,,,55,,.doc,63.0,Другое/Other
ФКТ Лексус аренда авто.doc,,Арендное соглашение,,,.doc,41.5,Аренда/Lease
фкт.docx,,,,,.docx,15.513671875,Другое/Other
Холд КМП 23.doc,,,,,.doc,68.5,Другое/Other
Холдинг с Технокран 14л.doc,,,,,.doc,73.0,Другое/Other
шагров .docx,,,,,.docx,26.5615234375,Другое/Other
шагров 188720.docx,,,,,.docx,21.6875,Другое/Other
шагров 2 от 21.02.2018год.docx,,,,2018,.docx,22.5888671875,Другое/Other
шагров 3.docx,,,,,.docx,23.009765625,Другое/Other
шагров 77 .docx,,,,,.docx,20.4140625,Другое/Other
шагров 82 .docx,,,,,.docx,21.580078125,Другое/Other
шагров 84.docx,,,,,.docx,18.693359375,Другое/Other
шагров №13 на 200тыщ с новыми реквизитами .docx,,,13,,.docx,22.1630859375,Другое/Other
шЕЙКО ПОТЕР..doc,,,,,.doc,57.0,Другое/Other
элитстрой №4 на гостинице с акбарысом.doc,,,4,,.doc,72.0,Другое/Other
элитстрой №75.doc,,,75,,.doc,95.5,Другое/Other
Элитстройсервис-Актобе одна спецт.doc,Актобе,Акт,,,.doc,73.5,Услуги/Services
Элитстройсервис-Актобе ямобур.doc,Актобе,Акт,,,.doc,74.5,Услуги/Services
Эмиссия.docx,,,,,.docx,16.15625,Другое/Other
№98 Монтаж на МШ2.docx,,,98,,.docx,25.083984375,Строительство/Construction
